Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,144,6,37,51.393
2017,144,6,38,50.638
2017,144,6,39,53.294
2017,144,6,40,55.278
2017,144,6,41,54.347
2017,144,6,42,57.04
2017,144,6,43,60.623
2017,144,6,44,63.827
2017,144,6,45,63.666
2017,144,6,46,64.295
2017,144,6,47,67.012
2017,144,6,48,64.101
2017,144,6,49,62.878
2017,144,6,50,63.984
2017,144,6,51,63.349
2017,144,6,52,61.26
2017,144,6,53,60.219
2017,144,6,54,60.909
2017,144,6,55,60.431
2017,144,6,56,55.909
2017,144,6,57,51.399
2017,144,6,58,54.781
2017,144,6,59,58.977
2017,144,7,0,59.646
2017,144,7,1,61.38
2017,144,7,2,67.341
2017,144,7,3,70.897
2017,144,7,4,71.494
2017,144,7,5,69.754
2017,144,7,6,68.284
2017,144,7,7,67.881
2017,144,7,8,69.193
2017,144,7,9,69.868
2017,144,7,10,73.361
2017,144,7,11,77.933
2017,144,7,12,79.301
2017,144,7,13,81.611
2017,144,7,14,84.593
2017,144,7,15,87.045
2017,144,7,16,88.601
2017,144,7,17,90.366
2017,144,7,18,92.896
2017,144,7,19,93.841
2017,144,7,20,93.071
2017,144,7,21,93.919
2017,144,7,22,96.836
2017,144,7,23,98.721
2017,144,7,24,99.994
2017,144,7,25,103.46
2017,144,7,26,105.18
2017,144,7,27,107.05
2017,144,7,28,115
2017,144,7,29,121.93
2017,144,7,30,121.1
2017,144,7,31,114.18
2017,144,7,32,113.49
2017,144,7,33,118.04
2017,144,7,34,121.14
2017,144,7,35,118.11
2017,144,7,36,114.33
2017,144,7,37,118.15
2017,144,7,38,122.23
2017,144,7,39,122.17
2017,144,7,40,121.83
2017,144,7,41,124.61
2017,144,7,42,123.19
2017,144,7,43,118.83
2017,144,7,44,119.7
2017,144,7,45,125.9
2017,144,7,46,129.8
2017,144,7,47,128.92
2017,144,7,48,127.18
2017,144,7,49,127.55
2017,144,7,50,124.19
2017,144,7,51,118.27
2017,144,7,52,109.79
2017,144,7,53,106.05
2017,144,7,54,111.78
2017,144,7,55,120.16
2017,144,7,56,120.71
2017,144,7,57,117.23
2017,144,7,58,115.09
2017,144,7,59,112.44
2017,144,8,0,108.35
2017,144,8,1,105.42
2017,144,8,2,106.24
2017,144,8,3,107.55
2017,144,8,4,109.51
2017,144,8,5,107.09
2017,144,8,6,106.91
2017,144,8,7,104.95
2017,144,8,8,103.49
2017,144,8,9,104.17
2017,144,8,10,104.77
2017,144,8,11,106.51
2017,144,8,12,110.98
2017,144,8,13,116.44
2017,144,8,14,117.44
2017,144,8,15,117.55
2017,144,8,16,120.83
2017,144,8,17,122.51
2017,144,8,18,122.62
2017,144,8,19,121.06
2017,144,8,20,118.48
2017,144,8,21,116.82
2017,144,8,22,115.35
2017,144,8,23,113.76
2017,144,8,24,111.67
2017,144,8,25,110.84
2017,144,8,26,110.47
2017,144,8,27,105.24
2017,144,8,28,100.79
2017,144,8,29,99.365
2017,144,8,30,102.66
2017,144,8,31,107.17
2017,144,8,32,110.97
2017,144,8,33,111.19
2017,144,8,34,107.98
2017,144,8,35,104.41
2017,144,8,36,100.91
2017,144,8,37,98.727
2017,144,8,38,95.816
2017,144,8,39,90.906
2017,144,8,40,89.14
2017,144,8,41,91.217
2017,144,8,42,94.932
2017,144,8,43,97.445
2017,144,8,44,98.856
2017,144,8,45,102.22
2017,144,8,46,107.14
2017,144,8,47,111.58
2017,144,8,48,113.91
2017,144,8,49,115.08
2017,144,8,50,115.53
2017,144,8,51,114.81
2017,144,8,52,113.64
2017,144,8,53,112.47
2017,144,8,54,115.34
2017,144,8,55,124.19
2017,144,8,56,144.88
2017,144,8,57,173.27
2017,144,8,58,189.62
2017,144,8,59,191.34
2017,144,9,0,192.36
2017,144,9,1,193.76
2017,144,9,2,193.17
2017,144,9,3,190.09
2017,144,9,4,186.89
2017,144,9,5,187.77
2017,144,9,6,192.21
2017,144,9,7,198.59
2017,144,9,8,205.96
2017,144,9,9,212.95
2017,144,9,10,215.45
2017,144,9,11,213.34
2017,144,9,12,209.82
2017,144,9,13,205.9
2017,144,9,14,202.07
2017,144,9,15,199.55
2017,144,9,16,202.06
2017,144,9,17,209.51
2017,144,9,18,217.67
2017,144,9,19,221.46
2017,144,9,20,224.94
2017,144,9,21,227.23
2017,144,9,22,227.54
2017,144,9,23,225.97
2017,144,9,24,224.59
2017,144,9,25,228.49
2017,144,9,26,235.78
2017,144,9,27,238.35
2017,144,9,28,232.18
2017,144,9,29,223.66
2017,144,9,30,220.66
2017,144,9,31,223.02
2017,144,9,32,225.8
2017,144,9,33,227.81
2017,144,9,34,230.47
2017,144,9,35,231.86
2017,144,9,36,230.25
2017,144,9,37,228.86
2017,144,9,38,232.21
2017,144,9,39,236.86
2017,144,9,40,237.38
2017,144,9,41,235.48
2017,144,9,42,231.25
2017,144,9,43,226.81
2017,144,9,44,221.13
2017,144,9,45,215.65
2017,144,9,46,212.9
2017,144,9,47,212.04
2017,144,9,48,212.78
2017,144,9,49,213.63
2017,144,9,50,214.76
2017,144,9,51,217.81
2017,144,9,52,222.46
2017,144,9,53,225.06
2017,144,9,54,226.44
2017,144,9,55,229.06
2017,144,9,56,233.14
2017,144,9,57,235.12
2017,144,9,58,236.45
2017,144,9,59,239.84
2017,144,10,0,241.49
2017,144,10,1,239.97
2017,144,10,2,237.62
2017,144,10,3,235.11
2017,144,10,4,230.51
2017,144,10,5,225.04
2017,144,10,6,221.68
2017,144,10,7,223.02
2017,144,10,8,229.15
2017,144,10,9,237.27
2017,144,10,10,244.54
2017,144,10,11,251.46
2017,144,10,12,256.76
2017,144,10,13,256.61
2017,144,10,14,255.27
2017,144,10,15,255.88
2017,144,10,16,257.02
2017,144,10,17,262.16
2017,144,10,18,268.53
2017,144,10,19,270.29
2017,144,10,20,268.16
